Episode: 170, Reward: -18.0 | Mean reward: -20.03
Episode: 171, Reward: -18.0 | Mean reward: -20.01
Episode: 172, Reward: -19.0 | Mean reward: -20.0
Episode: 173, Reward: -20.0 | Mean reward: -20.01
Episode: 174, Reward: -20.0 | Mean reward: -20.01
Episode: 175, Reward: -20.0 | Mean reward: -20.0
Episode: 176, Reward: -20.0 | Mean reward: -19.99
Episode: 177, Reward: -17.0 | Mean reward: -19.96
Episode: 178, Reward: -20.0 | Mean reward: -19.96
Episode: 179, Reward: -21.0 | Mean reward: -19.97
Episode: 180, Reward: -20.0 | Mean reward: -19.97
Episode: 181, Reward: -18.0 | Mean reward: -19.94
Episode: 182, Reward: -21.0 | Mean reward: -19.94
Episode: 183, Reward: -20.0 | Mean reward: -19.94
Episode: 184, Reward: -21.0 | Mean reward: -19.94
Episode: 185, Reward: -17.0 | Mean reward: -19.9
Episode: 186, Reward: -20.0 | Mean reward: -19.9
Episode: 187, Reward: -20.0 | Mean reward: -19.89
Episode: 188, Reward: -21.0 | Mean reward: -19.91
Episode: 189, Reward: -18.0 | Mean reward: -19.88
Episode: 190, Reward: -20.0 | Mean reward: -19.89
Episode: 191, Reward: -18.0 | Mean reward: -19.86
Episode: 192, Reward: -21.0 | Mean reward: -19.87
Episode: 193, Reward: -17.0 | Mean reward: -19.83
Episode: 194, Reward: -18.0 | Mean reward: -19.8
Episode: 195, Reward: -20.0 | Mean reward: -19.79
Episode: 196, Reward: -19.0 | Mean reward: -19.77
Episode: 197, Reward: -17.0 | Mean reward: -19.75
Episode: 198, Reward: -17.0 | Mean reward: -19.71
Episode: 199, Reward: -20.0 | Mean reward: -19.7
Episode: 200, Reward: -15.0 | Mean reward: -19.64
Episode: 201, Reward: -18.0 | Mean reward: -19.63
Episode: 202, Reward: -19.0 | Mean reward: -19.61
Episode: 203, Reward: -19.0 | Mean reward: -19.59
Episode: 204, Reward: -17.0 | Mean reward: -19.57
Episode: 205, Reward: -20.0 | Mean reward: -19.56
Episode: 206, Reward: -19.0 | Mean reward: -19.54
Episode: 207, Reward: -20.0 | Mean reward: -19.53
Episode: 208, Reward: -16.0 | Mean reward: -19.48
Episode: 209, Reward: -19.0 | Mean reward: -19.46
Episode: 210, Reward: -16.0 | Mean reward: -19.42
Episode: 211, Reward: -19.0 | Mean reward: -19.41
Episode: 212, Reward: -17.0 | Mean reward: -19.38
Episode: 213, Reward: -19.0 | Mean reward: -19.37
Episode: 214, Reward: -20.0 | Mean reward: -19.38
Episode: 215, Reward: -20.0 | Mean reward: -19.38
Episode: 216, Reward: -19.0 | Mean reward: -19.36
Episode: 217, Reward: -18.0 | Mean reward: -19.33
Episode: 218, Reward: -18.0 | Mean reward: -19.32
Episode: 219, Reward: -15.0 | Mean reward: -19.26
Episode: 220, Reward: -19.0 | Mean reward: -19.26
Episode: 221, Reward: -17.0 | Mean reward: -19.23
Episode: 222, Reward: -17.0 | Mean reward: -19.21
Episode: 223, Reward: -16.0 | Mean reward: -19.17
Episode: 224, Reward: -17.0 | Mean reward: -19.13
Episode: 225, Reward: -16.0 | Mean reward: -19.1
Episode: 226, Reward: -17.0 | Mean reward: -19.06
Episode: 227, Reward: -15.0 | Mean reward: -19.0
Episode: 228, Reward: -20.0 | Mean reward: -19.0
Episode: 229, Reward: -15.0 | Mean reward: -18.97
Episode: 230, Reward: -17.0 | Mean reward: -18.94
Episode: 231, Reward: -19.0 | Mean reward: -18.93
Episode: 232, Reward: -17.0 | Mean reward: -18.89
Episode: 233, Reward: -19.0 | Mean reward: -18.89
Episode: 234, Reward: -20.0 | Mean reward: -18.88
Episode: 235, Reward: -20.0 | Mean reward: -18.88
Episode: 236, Reward: -21.0 | Mean reward: -18.88
Episode: 237, Reward: -18.0 | Mean reward: -18.86
Episode: 238, Reward: -17.0 | Mean reward: -18.84
Episode: 239, Reward: -19.0 | Mean reward: -18.83
Episode: 240, Reward: -19.0 | Mean reward: -18.84
Episode: 241, Reward: -18.0 | Mean reward: -18.82
Episode: 242, Reward: -18.0 | Mean reward: -18.8
Episode: 243, Reward: -19.0 | Mean reward: -18.79
Episode: 244, Reward: -17.0 | Mean reward: -18.79
Episode: 245, Reward: -16.0 | Mean reward: -18.74
Episode: 246, Reward: -18.0 | Mean reward: -18.73
Episode: 247, Reward: -17.0 | Mean reward: -18.71
Episode: 248, Reward: -18.0 | Mean reward: -18.69
Episode: 249, Reward: -17.0 | Mean reward: -18.65
Episode: 250, Reward: -18.0 | Mean reward: -18.63
Episode: 251, Reward: -18.0 | Mean reward: -18.6
Episode: 252, Reward: -19.0 | Mean reward: -18.58
Episode: 253, Reward: -18.0 | Mean reward: -18.55
Episode: 254, Reward: -17.0 | Mean reward: -18.52
Episode: 255, Reward: -19.0 | Mean reward: -18.52
Episode: 256, Reward: -17.0 | Mean reward: -18.48
Episode: 257, Reward: -18.0 | Mean reward: -18.47
Episode: 258, Reward: -15.0 | Mean reward: -18.43
Episode: 259, Reward: -19.0 | Mean reward: -18.45
Episode: 260, Reward: -15.0 | Mean reward: -18.41
Episode: 261, Reward: -20.0 | Mean reward: -18.41
Episode: 262, Reward: -19.0 | Mean reward: -18.4
Episode: 263, Reward: -16.0 | Mean reward: -18.35
Episode: 264, Reward: -19.0 | Mean reward: -18.34
Episode: 265, Reward: -15.0 | Mean reward: -18.29
Episode: 266, Reward: -19.0 | Mean reward: -18.31
Episode: 267, Reward: -16.0 | Mean reward: -18.28
Episode: 268, Reward: -20.0 | Mean reward: -18.29
Episode: 269, Reward: -18.0 | Mean reward: -18.27
Episode: 270, Reward: -17.0 | Mean reward: -18.26
Episode: 271, Reward: -20.0 | Mean reward: -18.28
Episode: 272, Reward: -14.0 | Mean reward: -18.23
Episode: 273, Reward: -18.0 | Mean reward: -18.21
Episode: 274, Reward: -17.0 | Mean reward: -18.18
Episode: 275, Reward: -16.0 | Mean reward: -18.14
Episode: 276, Reward: -13.0 | Mean reward: -18.07
Episode: 277, Reward: -17.0 | Mean reward: -18.07
Episode: 278, Reward: -18.0 | Mean reward: -18.05
Episode: 279, Reward: -19.0 | Mean reward: -18.03
Episode: 280, Reward: -19.0 | Mean reward: -18.02
